ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
LBR,17.82040447,17.11095893,23.70383378,34.21080424,19.81565872,19.82864214,17.64607546,21.65039104,22.03394991,22.37407953,18.8582451,26.00354542,32.08350879,34.94511083,33.1397713,25.4222136,26.06374986,29.1182011,21.55805217
LBY,34.74455628,30.86153272,50.44116212,49.51507114,56.39896669,63.06690207,68.79008066,61.57275563,64.02141656,47.44345149,54.33739702,46.47032111,62.22497068,52.78058736,42.17659015,28.44956426,22.29548807,38.55943319,43.44257542
LCA,0.010381819,0.01089956,0.009763686,0.009552621,0.009236447,0.008373225,0.011003542,0.010776587,0.010641917,0.009930114,0.021393996,0.017173383,0.016416211,0.019327595,0.025358972,0.018653969,0.02423865,0.018833842,0.011779669
LIE,0.009363902,0.008433566,0.009402943,0.008829964,0.006799439,0.006601353,0.008323731,0.009372459,0.010923511,0.009786685,0.009240635,0.008170656,0.006552387,0.005293184,0.005992884,0.001908062,0.002072411,0.001916677,NA
LKA,0.190956033,0.196220474,0.20378794,0.196684505,0.147444271,0.122251479,0.16293001,0.193905777,0.166633781,0.153163914,0.185696676,0.165828467,0.139067959,0.112850406,0.110176926,0.12881073,0.141237446,0.107293835,0.064697203
LSO,3.45870924,3.612947199,4.649729896,5.468173675,3.85504574,3.425952346,3.068439057,4.951750177,5.484777301,5.795270545,3.874081913,3.825862028,4.607965787,4.975237258,5.45913291,6.178574943,7.098965041,6.0686734,3.344852177
LTU,0.958419671,0.92589878,0.790435032,0.693253477,0.638610601,0.569458072,0.540883592,0.477005722,0.437354554,0.385511629,0.54858403,0.567274472,0.523032263,0.469255402,0.446911419,0.350858322,0.368422006,0.382236328,0.344371601
LUX,0.018978826,0.018889234,0.017277155,0.015122494,0.009754185,0.009924462,0.011619988,0.014645127,0.170169525,0.168429717,0.060163331,0.093570501,0.114924324,0.057804161,0.045927263,0.012855063,0.010300944,0.010353034,0.011717768
LVA,2.60037443,2.087713926,1.744821652,1.752076428,1.587574739,1.30862082,1.168198605,0.957817829,0.660603919,0.844255262,1.227070455,1.192333818,1.293364024,1.051904479,1.040971542,0.934589564,1.021295586,1.067852607,0.845168169
MAC,0.001108683,0.001260575,0.001301609,0.00167601,0.001427791,0.000775882,0.000767207,0.000919396,0.001353963,0.001229554,0.000909142,0.000922097,0.000636428,0.000518544,0.000700385,0.000662704,0.000750188,0.000699134,0.000336096
